User_id,Account,YouTubeLog_id,Video_id,Video_Time,Behavior,CreateDate
40,S10527122,339,gzCSV35U5-w,53,playing,"2017-04-26 08:17:21"
40,S10527122,340,gzCSV35U5-w,56,paused,"2017-04-26 08:17:24"
40,S10527122,341,gzCSV35U5-w,56,playing,"2017-04-26 08:17:26"
40,S10527122,342,gzCSV35U5-w,60,paused,"2017-04-26 08:17:30"
55,S10527138,343,gzCSV35U5-w,0,buffering,"2017-04-26 08:17:34"
55,S10527138,344,gzCSV35U5-w,0,playing,"2017-04-26 08:17:35"
55,S10527138,345,gzCSV35U5-w,5,paused,"2017-04-26 08:17:42"
55,S10527138,346,gzCSV35U5-w,6,paused,"2017-04-26 08:17:42"
55,S10527138,347,gzCSV35U5-w,5,playing,"2017-04-26 08:17:43"
44,S10527126,348,gzCSV35U5-w,40,paused,"2017-04-26 08:17:52"
70,S10527173,349,gzCSV35U5-w,0,buffering,"2017-04-26 08:17:56"
70,S10527173,350,gzCSV35U5-w,0,playing,"2017-04-26 08:17:58"
51,S10527133,351,gzCSV35U5-w,0,buffering,"2017-04-26 08:18:32"
51,S10527133,352,gzCSV35U5-w,0,playing,"2017-04-26 08:18:35"
51,S10527133,353,gzCSV35U5-w,6,paused,"2017-04-26 08:18:42"
44,S10527126,354,gzCSV35U5-w,40,playing,"2017-04-26 08:18:52"
44,S10527126,355,gzCSV35U5-w,58,paused,"2017-04-26 08:18:53"
44,S10527126,356,gzCSV35U5-w,58,playing,"2017-04-26 08:18:54"
37,S10527120,357,gzCSV35U5-w,0,buffering,"2017-04-26 08:19:02"
37,S10527120,358,gzCSV35U5-w,0,playing,"2017-04-26 08:19:03"
44,S10527126,359,gzCSV35U5-w,72,paused,"2017-04-26 08:19:08"
37,S10527120,360,gzCSV35U5-w,37,paused,"2017-04-26 08:19:17"
37,S10527120,361,gzCSV35U5-w,37,playing,"2017-04-26 08:19:17"
37,S10527120,362,gzCSV35U5-w,64,paused,"2017-04-26 08:19:20"
37,S10527120,363,gzCSV35U5-w,64,playing,"2017-04-26 08:19:20"
37,S10527120,364,gzCSV35U5-w,64,buffering,"2017-04-26 08:19:20"
37,S10527120,365,gzCSV35U5-w,64,playing,"2017-04-26 08:19:20"
15,S10412108,366,gzCSV35U5-w,53,playing,"2017-04-26 08:19:21"
37,S10527120,367,gzCSV35U5-w,83,paused,"2017-04-26 08:19:22"
37,S10527120,368,gzCSV35U5-w,83,playing,"2017-04-26 08:19:22"
37,S10527120,369,gzCSV35U5-w,83,buffering,"2017-04-26 08:19:22"
37,S10527120,370,gzCSV35U5-w,83,playing,"2017-04-26 08:19:22"
37,S10527120,371,gzCSV35U5-w,101,paused,"2017-04-26 08:19:24"
37,S10527120,372,gzCSV35U5-w,101,playing,"2017-04-26 08:19:25"
37,S10527120,373,gzCSV35U5-w,101,buffering,"2017-04-26 08:19:25"
37,S10527120,374,gzCSV35U5-w,101,playing,"2017-04-26 08:19:25"
37,S10527120,375,gzCSV35U5-w,101,playing,"2017-04-26 08:19:25"
37,S10527120,376,gzCSV35U5-w,101,buffering,"2017-04-26 08:19:25"
37,S10527120,377,gzCSV35U5-w,117,paused,"2017-04-26 08:19:26"
37,S10527120,378,gzCSV35U5-w,117,playing,"2017-04-26 08:19:27"
37,S10527120,379,gzCSV35U5-w,117,buffering,"2017-04-26 08:19:27"
37,S10527120,380,gzCSV35U5-w,117,playing,"2017-04-26 08:19:27"
37,S10527120,381,gzCSV35U5-w,126,paused,"2017-04-26 08:19:27"
37,S10527120,382,gzCSV35U5-w,127,playing,"2017-04-26 08:19:27"
37,S10527120,383,gzCSV35U5-w,134,paused,"2017-04-26 08:19:28"
37,S10527120,384,gzCSV35U5-w,134,playing,"2017-04-26 08:19:28"
37,S10527120,385,gzCSV35U5-w,142,paused,"2017-04-26 08:19:28"
37,S10527120,386,gzCSV35U5-w,142,playing,"2017-04-26 08:19:28"
37,S10527120,387,gzCSV35U5-w,149,paused,"2017-04-26 08:19:29"
37,S10527120,388,gzCSV35U5-w,149,playing,"2017-04-26 08:19:29"
37,S10527120,389,gzCSV35U5-w,155,paused,"2017-04-26 08:19:30"
37,S10527120,390,gzCSV35U5-w,155,playing,"2017-04-26 08:19:30"
37,S10527120,391,gzCSV35U5-w,160,paused,"2017-04-26 08:19:30"
37,S10527120,392,gzCSV35U5-w,160,playing,"2017-04-26 08:19:31"
37,S10527120,393,gzCSV35U5-w,163,paused,"2017-04-26 08:19:31"
37,S10527120,394,gzCSV35U5-w,163,playing,"2017-04-26 08:19:31"
37,S10527120,395,gzCSV35U5-w,169,paused,"2017-04-26 08:19:31"
37,S10527120,396,gzCSV35U5-w,169,playing,"2017-04-26 08:19:32"
37,S10527120,397,gzCSV35U5-w,170,paused,"2017-04-26 08:19:32"
37,S10527120,398,gzCSV35U5-w,170,playing,"2017-04-26 08:19:32"
37,S10527120,399,gzCSV35U5-w,175,paused,"2017-04-26 08:19:32"
37,S10527120,400,gzCSV35U5-w,175,playing,"2017-04-26 08:19:33"
37,S10527120,401,gzCSV35U5-w,181,paused,"2017-04-26 08:19:33"
37,S10527120,402,gzCSV35U5-w,181,playing,"2017-04-26 08:19:33"
37,S10527120,403,gzCSV35U5-w,188,paused,"2017-04-26 08:19:33"
37,S10527120,404,gzCSV35U5-w,188,playing,"2017-04-26 08:19:33"
37,S10527120,405,gzCSV35U5-w,192,paused,"2017-04-26 08:19:34"
37,S10527120,406,gzCSV35U5-w,192,playing,"2017-04-26 08:19:34"
37,S10527120,407,gzCSV35U5-w,196,paused,"2017-04-26 08:19:34"
37,S10527120,408,gzCSV35U5-w,196,playing,"2017-04-26 08:19:34"
37,S10527120,409,gzCSV35U5-w,202,paused,"2017-04-26 08:19:34"
37,S10527120,410,gzCSV35U5-w,202,playing,"2017-04-26 08:19:35"
37,S10527120,411,gzCSV35U5-w,206,paused,"2017-04-26 08:19:35"
37,S10527120,412,gzCSV35U5-w,206,playing,"2017-04-26 08:19:35"
37,S10527120,413,gzCSV35U5-w,211,paused,"2017-04-26 08:19:35"
37,S10527120,414,gzCSV35U5-w,211,playing,"2017-04-26 08:19:35"
37,S10527120,415,gzCSV35U5-w,218,paused,"2017-04-26 08:19:36"
37,S10527120,416,gzCSV35U5-w,218,playing,"2017-04-26 08:19:36"
37,S10527120,417,gzCSV35U5-w,224,paused,"2017-04-26 08:19:36"
37,S10527120,418,gzCSV35U5-w,224,playing,"2017-04-26 08:19:36"
37,S10527120,419,gzCSV35U5-w,228,paused,"2017-04-26 08:19:37"
37,S10527120,420,gzCSV35U5-w,228,playing,"2017-04-26 08:19:37"
25,S10527109,421,gzCSV35U5-w,0,buffering,"2017-04-26 08:19:48"
25,S10527109,422,gzCSV35U5-w,0,playing,"2017-04-26 08:19:50"
37,S10527120,423,gzCSV35U5-w,251,paused,"2017-04-26 08:19:51"
37,S10527120,424,gzCSV35U5-w,251,playing,"2017-04-26 08:19:51"
37,S10527120,425,gzCSV35U5-w,260,paused,"2017-04-26 08:19:52"
37,S10527120,426,gzCSV35U5-w,260,playing,"2017-04-26 08:19:52"
37,S10527120,427,gzCSV35U5-w,278,paused,"2017-04-26 08:20:00"
37,S10527120,428,gzCSV35U5-w,278,playing,"2017-04-26 08:20:00"
37,S10527120,429,gzCSV35U5-w,290,paused,"2017-04-26 08:20:08"
37,S10527120,430,gzCSV35U5-w,290,playing,"2017-04-26 08:20:08"
37,S10527120,431,gzCSV35U5-w,296,paused,"2017-04-26 08:20:08"
37,S10527120,432,gzCSV35U5-w,296,playing,"2017-04-26 08:20:08"
37,S10527120,433,gzCSV35U5-w,301,paused,"2017-04-26 08:20:09"
37,S10527120,434,gzCSV35U5-w,301,playing,"2017-04-26 08:20:09"
37,S10527120,435,gzCSV35U5-w,304,paused,"2017-04-26 08:20:09"
37,S10527120,436,gzCSV35U5-w,304,playing,"2017-04-26 08:20:09"
37,S10527120,437,gzCSV35U5-w,308,paused,"2017-04-26 08:20:10"
37,S10527120,438,gzCSV35U5-w,308,playing,"2017-04-26 08:20:10"
37,S10527120,439,gzCSV35U5-w,310,paused,"2017-04-26 08:20:10"
37,S10527120,440,gzCSV35U5-w,310,playing,"2017-04-26 08:20:10"
37,S10527120,441,gzCSV35U5-w,314,paused,"2017-04-26 08:20:11"
37,S10527120,442,gzCSV35U5-w,315,playing,"2017-04-26 08:20:11"
37,S10527120,443,gzCSV35U5-w,318,paused,"2017-04-26 08:20:11"
37,S10527120,444,gzCSV35U5-w,318,playing,"2017-04-26 08:20:11"
37,S10527120,445,gzCSV35U5-w,322,paused,"2017-04-26 08:20:12"
37,S10527120,446,gzCSV35U5-w,322,playing,"2017-04-26 08:20:12"
37,S10527120,447,gzCSV35U5-w,325,paused,"2017-04-26 08:20:12"
37,S10527120,448,gzCSV35U5-w,326,playing,"2017-04-26 08:20:12"
37,S10527120,449,gzCSV35U5-w,330,paused,"2017-04-26 08:20:12"
37,S10527120,450,gzCSV35U5-w,330,playing,"2017-04-26 08:20:12"
37,S10527120,451,gzCSV35U5-w,333,paused,"2017-04-26 08:20:13"
37,S10527120,452,gzCSV35U5-w,333,playing,"2017-04-26 08:20:13"
37,S10527120,453,gzCSV35U5-w,340,paused,"2017-04-26 08:20:13"
37,S10527120,454,gzCSV35U5-w,340,playing,"2017-04-26 08:20:13"
37,S10527120,455,gzCSV35U5-w,344,paused,"2017-04-26 08:20:14"
37,S10527120,456,gzCSV35U5-w,344,playing,"2017-04-26 08:20:14"
37,S10527120,457,gzCSV35U5-w,350,paused,"2017-04-26 08:20:14"
37,S10527120,458,gzCSV35U5-w,350,playing,"2017-04-26 08:20:14"
37,S10527120,459,gzCSV35U5-w,356,paused,"2017-04-26 08:20:15"
37,S10527120,460,gzCSV35U5-w,357,playing,"2017-04-26 08:20:15"
37,S10527120,461,gzCSV35U5-w,361,paused,"2017-04-26 08:20:15"
37,S10527120,462,gzCSV35U5-w,361,playing,"2017-04-26 08:20:15"
37,S10527120,463,gzCSV35U5-w,364,paused,"2017-04-26 08:20:15"
37,S10527120,464,gzCSV35U5-w,364,playing,"2017-04-26 08:20:16"
37,S10527120,465,gzCSV35U5-w,366,paused,"2017-04-26 08:20:16"
37,S10527120,466,gzCSV35U5-w,366,playing,"2017-04-26 08:20:16"
37,S10527120,467,gzCSV35U5-w,372,paused,"2017-04-26 08:20:16"
37,S10527120,468,gzCSV35U5-w,372,playing,"2017-04-26 08:20:16"
37,S10527120,469,gzCSV35U5-w,377,paused,"2017-04-26 08:20:17"
37,S10527120,470,gzCSV35U5-w,377,playing,"2017-04-26 08:20:17"
37,S10527120,471,gzCSV35U5-w,380,paused,"2017-04-26 08:20:17"
37,S10527120,472,gzCSV35U5-w,380,playing,"2017-04-26 08:20:17"
37,S10527120,473,gzCSV35U5-w,388,paused,"2017-04-26 08:20:17"
40,S10527122,474,gzCSV35U5-w,60,playing,"2017-04-26 08:20:17"
37,S10527120,475,gzCSV35U5-w,388,playing,"2017-04-26 08:20:17"
