Account,Video_id,Behavior,Video_Time,CreateDate
S10527120,gzCSV35U5-w,buffering,101,"2017-04-26 08:19:25"
S10527120,gzCSV35U5-w,paused,117,"2017-04-26 08:19:26"
S10527120,gzCSV35U5-w,playing,117,"2017-04-26 08:19:27"
S10527120,gzCSV35U5-w,buffering,117,"2017-04-26 08:19:27"
S10527120,gzCSV35U5-w,playing,117,"2017-04-26 08:19:27"
S10527120,gzCSV35U5-w,paused,126,"2017-04-26 08:19:27"
S10527120,gzCSV35U5-w,playing,127,"2017-04-26 08:19:27"
S10527120,gzCSV35U5-w,paused,134,"2017-04-26 08:19:28"
S10527120,gzCSV35U5-w,playing,134,"2017-04-26 08:19:28"
S10527120,gzCSV35U5-w,paused,142,"2017-04-26 08:19:28"
S10527120,gzCSV35U5-w,playing,142,"2017-04-26 08:19:28"
S10527120,gzCSV35U5-w,paused,149,"2017-04-26 08:19:29"
S10527120,gzCSV35U5-w,playing,149,"2017-04-26 08:19:29"
S10527120,gzCSV35U5-w,paused,155,"2017-04-26 08:19:30"
S10527120,gzCSV35U5-w,playing,155,"2017-04-26 08:19:30"
S10527120,gzCSV35U5-w,paused,160,"2017-04-26 08:19:30"
S10527120,gzCSV35U5-w,playing,160,"2017-04-26 08:19:31"
S10527120,gzCSV35U5-w,paused,163,"2017-04-26 08:19:31"
S10527120,gzCSV35U5-w,playing,163,"2017-04-26 08:19:31"
S10527120,gzCSV35U5-w,paused,169,"2017-04-26 08:19:31"
S10527120,gzCSV35U5-w,playing,169,"2017-04-26 08:19:32"
S10527120,gzCSV35U5-w,paused,170,"2017-04-26 08:19:32"
S10527120,gzCSV35U5-w,playing,170,"2017-04-26 08:19:32"
S10527120,gzCSV35U5-w,paused,175,"2017-04-26 08:19:32"
S10527120,gzCSV35U5-w,playing,175,"2017-04-26 08:19:33"
S10527120,gzCSV35U5-w,paused,181,"2017-04-26 08:19:33"
S10527120,gzCSV35U5-w,playing,181,"2017-04-26 08:19:33"
S10527120,gzCSV35U5-w,paused,188,"2017-04-26 08:19:33"
S10527120,gzCSV35U5-w,playing,188,"2017-04-26 08:19:33"
S10527120,gzCSV35U5-w,paused,192,"2017-04-26 08:19:34"
S10527120,gzCSV35U5-w,playing,192,"2017-04-26 08:19:34"
S10527120,gzCSV35U5-w,paused,196,"2017-04-26 08:19:34"
S10527120,gzCSV35U5-w,playing,196,"2017-04-26 08:19:34"
S10527120,gzCSV35U5-w,paused,202,"2017-04-26 08:19:34"
