Account,Behavior,Video_Time,CreateDate
S10527120,playing,290,"2017-04-26 08:20:08"
S10527120,paused,296,"2017-04-26 08:20:08"
S10527120,playing,296,"2017-04-26 08:20:08"
S10527120,paused,301,"2017-04-26 08:20:09"
S10527120,playing,301,"2017-04-26 08:20:09"
S10527120,paused,304,"2017-04-26 08:20:09"
S10527120,playing,304,"2017-04-26 08:20:09"
S10527120,paused,308,"2017-04-26 08:20:10"
S10527120,playing,308,"2017-04-26 08:20:10"
S10527120,paused,310,"2017-04-26 08:20:10"
S10527120,playing,310,"2017-04-26 08:20:10"
S10527120,paused,314,"2017-04-26 08:20:11"
S10527120,playing,315,"2017-04-26 08:20:11"
S10527120,paused,318,"2017-04-26 08:20:11"
S10527120,playing,318,"2017-04-26 08:20:11"
S10527120,paused,322,"2017-04-26 08:20:12"
S10527120,playing,322,"2017-04-26 08:20:12"
S10527120,paused,325,"2017-04-26 08:20:12"
S10527120,playing,326,"2017-04-26 08:20:12"
S10527120,paused,330,"2017-04-26 08:20:12"
S10527120,playing,330,"2017-04-26 08:20:12"
S10527120,paused,333,"2017-04-26 08:20:13"
S10527120,playing,333,"2017-04-26 08:20:13"
S10527120,paused,340,"2017-04-26 08:20:13"
S10527120,playing,340,"2017-04-26 08:20:13"
S10527120,paused,344,"2017-04-26 08:20:14"
S10527120,playing,344,"2017-04-26 08:20:14"
S10527120,paused,350,"2017-04-26 08:20:14"
S10527120,playing,350,"2017-04-26 08:20:14"
S10527120,paused,356,"2017-04-26 08:20:15"
S10527120,playing,357,"2017-04-26 08:20:15"
S10527120,paused,361,"2017-04-26 08:20:15"
S10527120,playing,361,"2017-04-26 08:20:15"
S10527120,paused,364,"2017-04-26 08:20:15"
S10527120,playing,364,"2017-04-26 08:20:16"
S10527120,paused,366,"2017-04-26 08:20:16"
S10527120,playing,366,"2017-04-26 08:20:16"
S10527120,paused,372,"2017-04-26 08:20:16"
S10527120,playing,372,"2017-04-26 08:20:16"
S10527120,paused,377,"2017-04-26 08:20:17"
S10527120,playing,377,"2017-04-26 08:20:17"
S10527120,paused,380,"2017-04-26 08:20:17"
S10527120,playing,380,"2017-04-26 08:20:17"
S10527120,paused,388,"2017-04-26 08:20:17"
S10527122,playing,60,"2017-04-26 08:20:17"
S10527120,playing,388,"2017-04-26 08:20:17"
S10527120,paused,397,"2017-04-26 08:20:21"
S10527120,playing,397,"2017-04-26 08:20:21"
S10527120,paused,401,"2017-04-26 08:20:21"
S10527120,playing,401,"2017-04-26 08:20:21"
S10527120,paused,405,"2017-04-26 08:20:22"
S10527120,playing,405,"2017-04-26 08:20:22"
S10527120,paused,409,"2017-04-26 08:20:22"
S10527120,playing,409,"2017-04-26 08:20:22"
S10527120,paused,411,"2017-04-26 08:20:23"
S10527120,playing,411,"2017-04-26 08:20:23"
S10527120,paused,414,"2017-04-26 08:20:23"
S10527120,playing,414,"2017-04-26 08:20:23"
S10527120,paused,423,"2017-04-26 08:20:24"
S10527120,playing,423,"2017-04-26 08:20:24"
S10527120,paused,425,"2017-04-26 08:20:24"
S10527120,playing,425,"2017-04-26 08:20:24"
S10527120,paused,431,"2017-04-26 08:20:25"
S10527120,playing,431,"2017-04-26 08:20:25"
S10527120,paused,436,"2017-04-26 08:20:25"
S10527120,playing,436,"2017-04-26 08:20:25"
S10527120,paused,445,"2017-04-26 08:20:25"
S10527120,playing,445,"2017-04-26 08:20:26"
S10527120,paused,450,"2017-04-26 08:20:26"
S10527120,playing,450,"2017-04-26 08:20:26"
S10527120,paused,455,"2017-04-26 08:20:26"
S10527120,playing,455,"2017-04-26 08:20:26"
S10527120,paused,467,"2017-04-26 08:20:27"
S10527120,playing,467,"2017-04-26 08:20:27"
S10527120,buffering,467,"2017-04-26 08:20:27"
S10527120,playing,467,"2017-04-26 08:20:27"
S10527120,paused,478,"2017-04-26 08:20:27"
S10527120,playing,478,"2017-04-26 08:20:27"
S10527133,playing,6,"2017-04-26 08:20:28"
S10527122,buffering,75,"2017-04-26 08:20:28"
S10527122,playing,75,"2017-04-26 08:20:28"
S10527120,paused,490,"2017-04-26 08:20:29"
S10527120,playing,490,"2017-04-26 08:20:29"
S10527122,buffering,82,"2017-04-26 08:20:30"
S10527120,paused,496,"2017-04-26 08:20:30"
S10527122,playing,82,"2017-04-26 08:20:30"
S10527120,playing,496,"2017-04-26 08:20:30"
S10527122,buffering,87,"2017-04-26 08:20:30"
S10527122,playing,87,"2017-04-26 08:20:30"
S10527120,paused,499,"2017-04-26 08:20:31"
S10527120,playing,499,"2017-04-26 08:20:31"
S10527122,buffering,92,"2017-04-26 08:20:31"
S10527122,playing,97,"2017-04-26 08:20:31"
S10527120,paused,505,"2017-04-26 08:20:31"
S10527120,playing,505,"2017-04-26 08:20:31"
S10527122,paused,99,"2017-04-26 08:20:33"
S10527173,paused,131,"2017-04-26 08:20:33"
S10527173,playing,131,"2017-04-26 08:20:33"
S10527122,playing,99,"2017-04-26 08:20:36"
S10527122,paused,100,"2017-04-26 08:20:37"
S10527122,playing,100,"2017-04-26 08:20:38"
S10527122,paused,102,"2017-04-26 08:20:40"
S10527122,playing,102,"2017-04-26 08:20:42"
S10527122,buffering,108,"2017-04-26 08:20:43"
S10527122,playing,108,"2017-04-26 08:20:43"
S10527173,paused,126,"2017-04-26 08:20:44"
S10527173,playing,126,"2017-04-26 08:20:44"
S10527122,buffering,114,"2017-04-26 08:20:45"
S10527122,playing,114,"2017-04-26 08:20:45"
S10527173,paused,112,"2017-04-26 08:20:45"
S10527173,playing,112,"2017-04-26 08:20:45"
S10527122,buffering,120,"2017-04-26 08:20:46"
S10527173,paused,90,"2017-04-26 08:20:46"
S10527122,playing,120,"2017-04-26 08:20:46"
S10527173,playing,90,"2017-04-26 08:20:46"
S10527122,buffering,126,"2017-04-26 08:20:47"
S10527122,playing,126,"2017-04-26 08:20:47"
S10527122,buffering,132,"2017-04-26 08:20:49"
S10527126,buffering,0,"2017-04-26 08:20:50"
S10527122,playing,138,"2017-04-26 08:20:50"
S10527126,playing,0,"2017-04-26 08:20:51"
S10527122,buffering,143,"2017-04-26 08:20:51"
S10527122,playing,143,"2017-04-26 08:20:51"
S10527122,paused,145,"2017-04-26 08:20:53"
S10527133,paused,47,"2017-04-26 08:21:10"
S10527109,paused,194,"2017-04-26 08:21:32"
S10527108,buffering,0,"2017-04-26 08:21:54"
S10527109,playing,195,"2017-04-26 08:21:55"
S10527108,playing,0,"2017-04-26 08:21:56"
S10527120,paused,611,"2017-04-26 08:21:56"
S10527120,playing,611,"2017-04-26 08:21:56"
S10527120,paused,625,"2017-04-26 08:21:57"
S10527120,playing,625,"2017-04-26 08:21:57"
S10527120,paused,644,"2017-04-26 08:21:57"
S10527120,playing,644,"2017-04-26 08:21:58"
S10527120,paused,652,"2017-04-26 08:21:58"
S10527120,playing,653,"2017-04-26 08:21:58"
S10527120,paused,660,"2017-04-26 08:21:59"
S10527120,playing,660,"2017-04-26 08:21:59"
S10527173,paused,681,"2017-04-26 08:21:59"
S10527120,paused,667,"2017-04-26 08:21:59"
S10527120,playing,667,"2017-04-26 08:21:59"
S10527120,paused,678,"2017-04-26 08:21:59"
S10527120,playing,678,"2017-04-26 08:22:00"
S10527120,paused,678,"2017-04-26 08:22:01"
S10527120,playing,678,"2017-04-26 08:22:01"
S10527120,paused,679,"2017-04-26 08:22:02"
S10527173,playing,682,"2017-04-26 08:22:03"
S10527111,buffering,0,"2017-04-26 08:22:16"
S10527111,playing,0,"2017-04-26 08:22:16"
S10527108,paused,55,"2017-04-26 08:22:19"
S10527108,playing,55,"2017-04-26 08:22:19"
S10527133,buffering,47,"2017-04-26 08:22:21"
S10527133,paused,47,"2017-04-26 08:22:22"
S10527105,buffering,0,"2017-04-26 08:22:23"
S10527105,playing,0,"2017-04-26 08:22:25"
S10527108,paused,69,"2017-04-26 08:22:27"
S10527133,playing,47,"2017-04-26 08:22:29"
S10527111,paused,29,"2017-04-26 08:22:35"
S10527111,playing,29,"2017-04-26 08:22:35"
S10527111,paused,40,"2017-04-26 08:22:35"
S10527111,playing,40,"2017-04-26 08:22:36"
S10527111,paused,48,"2017-04-26 08:22:36"
S10527111,playing,48,"2017-04-26 08:22:36"
S10527111,paused,57,"2017-04-26 08:22:37"
S10527111,playing,57,"2017-04-26 08:22:37"
S10527111,paused,72,"2017-04-26 08:22:40"
S10527111,playing,72,"2017-04-26 08:22:40"
S10527122,playing,145,"2017-04-26 08:22:42"
S10527105,paused,34,"2017-04-26 08:22:42"
